Address,City,State
"I-20, EXIT 126 & FM-1788",Midland                                 ,TX
I-40 EXIT 96 & SR-207,Panhandle,TX
US-83,Perryton,TX
"SR- 60 & FL TURNPIKE, EXIT 193",Okeechobee,FL
"SR- 60 & FL TURNPIKE, EXIT 193",Okeechobee,FL
US-49,Hattiesburg,MS
"I-20, EXIT 617 & US-59",Marshall,TX
US-67/US-277,San Angelo,TX
US-131,Byron Center,MI
"I-10, EXIT 583",San Antonio                             ,TX
"I-79, EXIT 67 & US-19/SR-4",Sutton,WV
"I-75/71, EXIT 175 & SR-338",Walton,KY
"I-40, EXIT 66",Kingman,AZ
"I-94, EXIT 29",Benton Harbor                           ,MI
"I-94, EXIT 29",Benton Harbor                           ,MI
"US-12 & US-31, EXIT 3",Niles,MI
"US-12 & US-31, EXIT 3",Niles,MI
US-175,Seagoville,TX
"I-35, EXIT 81 & SR-70",Lakeville,MN
US-87,Sterling City,TX
US-54 & US-287,Stratford,TX
"I-20, EXIT 509",Terrell                                 ,TX
"I-37 & SR-72, EXIT 69",Three Rivers,TX
"I-20/US-84, EXIT 278",Tye,TX
US-82,Whitesboro                              ,TX
"I-15, EXIT 62",Cedar City,UT
"I-70, EXIT 160",Green River,UT
"I-80, EXIT 146",Park City,UT
"I-70, EXIT 54 & US-89",Salina,UT
"I-35, EXIT 19 & US-160 E",Wellington,KS
"I-15, EXIT 320",Woods Cross                             ,UT
"I-77, EXIT 24",Austinville,VA
"I-81, EXIT 10 & US-11",Bristol,VA
"I-81, EXIT 98 & SR-100",Dublin,VA
"I-77, EXIT 1 & SR-620",Lambsburg,VA
"I-77, EXIT 1 & SR-620",Lambsburg,VA
"I-81, EXIT 205",King George,VA
"I-81, EXIT 205",Staunton,VA
"I-64, EXIT 136 & US-15",Gordonsville,VA
US-58 & CR-645,Suffolk,VA
"I-81, EXIT 291",Toms Brook,VA
"I-81 & I-77, EXIT 77",Wytheville,VA
"I-89, EXIT 7",Montpelier                              ,VT
"I-64, EXIT 172 & SR-1/SR-7",Grayson,KY
"I-90, EXIT 276",Spokane                                 ,WA
"I-90, EXIT 276",Spokane                                 ,WA
"I-5, EXIT 57",Toledo,WA
"US-53, EXIT 110 & SR-40",Bloomer,WI
"I-90 & I-94, EXIT 55",Camp Douglas                            ,WI
US-41,Marinette,WI
US-53/US-2,Superior,WI
"I-43, EXIT 120 & CR-V/CR-OK",Sheboygan,WI
"I-68, EXIT 23 & SR-26",Bruceton Mills,WV
"I-64, EXIT 15 & US-60",Huntington,WV
"I-79, EXIT 40 & SR-16",Ivydale                                 ,WV
"I-25, EXIT 188",Mills                                   ,WY
US-26/US-20,Casper,WY
"I-80, EXIT 377 & SR-217/CR-140",Cheyenne,WY
"I-25, EXIT 126 & US-18/20",Douglas,WY
"I-80, EXIT 401 & US-30",Pine Bluffs,WY
"I-80, EXIT 173",Wamsutter,WY
"I-10, EXIT 550",San Antonio,TX
US-283 BUS/US-277 BUS & SR-422,Seymour,TX
US-84 & CR-3300,Slaton                                  ,TX
"I-20, EXIT 73",Wickett,TX
SR-30,Logan,UT
"I-70, EXIT 40",Richfield                               ,UT
"I-84, EXIT 7",Snowville                               ,UT
SR-23/SR-33,Reedsburg,WI
"I-80, EXIT 311 & SR-130",Laramie,WY
US-15,Thurmont,MD
"I-90, EXIT 102",Fairmont,MN
"I-94, EXIT 171 (CR 75)",Saint Cloud,MN
"I-64 & I-81, EXIT 205",Raphine,VA
US-19/SR-129,Mount Nebo                              ,WV
US-35 & CR-41,Jackson,OH
I-76 EXIT 43,Ravenna,OH
US-278 & SR-5,Lynn,AL
"I-40/US-65, EXIT 142 & SR-365",North Little Rock,AR
"I-85, EXIT 129",Braselton,GA
"I-85, EXIT 129",Braselton,GA
"I-16 SR-404, EXIT 116 & US-301/SR-73",Register,GA
SR-59,Naperville,IL
SR-59,Naperville,IL
"I-270, EXIT 33",Saint Louis,MO
